Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID,Calib_Version
262,10.48,18,car,1828.5068,78.708374,12.475376,-42.654682,1.7214613,1.0696106,0,0.0,14,16,-1,-1,-1,-1,2,0
262,10.48,19,car,1626.6694,79.33526,9.186732,-39.664127,1.7662045,1.1526062,0,0.0,13,3,-1,-1,-1,-1,2,0
263,10.52,2,car,1562.4711,78.96739,8.217493,-38.952663,1.712554,1.1173218,1,6.944444444444445,19,11,-1,-1,-1,-1,2,0
263,10.52,3,car,1587.5356,80.5603,8.558277,-38.762447,1.8216076,1.1879883,3,20.833333333333336,11,10,-1,-1,-1,-1,2,0
263,10.52,10,car,1524.0687,79.01958,7.643765,-38.449417,1.7788032,1.1201782,0,-6.944444444444445,3,-1,-1,-1,-1,-1,2,0
263,10.52,11,car,1501.3427,77.08628,7.3453712,-38.775543,1.652627,1.1199707,0,0.0,2,3,-1,-1,-1,-1,2,0
263,10.52,12,car,1451.601,79.95739,6.5744386,-37.26578,1.8299763,1.2973877,0,0.0,-1,-1,-1,-1,-1,-1,1,0
263,10.52,13,car,1745.0103,78.47766,11.093718,-41.551453,1.7103075,1.1566223,0,0.0,16,19,-1,-1,-1,-1,2,0
263,10.52,14,car,1768.9971,75.01048,11.620594,-43.116375,1.55362,1.2051331,0,0.0,-1,18,-1,-1,-1,-1,2,0
263,10.52,16,car,1805.1742,80.02883,12.028387,-41.8553,1.8021873,1.1161622,0,0.0,18,13,-1,-1,-1,-1,2,0
263,10.52,18,car,1828.4395,78.85603,12.467968,-42.601032,1.731897,1.0677185,0,0.0,14,16,-1,-1,-1,-1,2,0
263,10.52,19,car,1626.6451,79.47264,9.182682,-39.618816,1.7649618,1.1556152,0,0.0,13,2,-1,-1,-1,-1,2,0
264,10.56,2,car,1562.7333,78.35291,8.235277,-39.153572,1.6846704,1.1041383,0,-6.944444444444445,3,11,-1,-1,-1,-1,2,0
264,10.56,3,car,1587.6711,78.97454,8.598366,-39.27422,1.7510897,1.1681336,1,-13.88888888888889,19,2,-1,-1,-1,-1,2,0
264,10.56,10,car,1524.3347,78.779854,7.6524825,-38.528564,1.7641362,1.1325257,0,0.0,11,-1,-1,-1,-1,-1,2,0
264,10.56,11,car,1501.4932,76.69359,7.3549757,-38.902596,1.6238054,1.1036133,0,0.0,2,10,-1,-1,-1,-1,2,0
264,10.56,13,car,1745.0645,78.343254,11.099415,-41.598713,1.7053118,1.1487366,0,0.0,16,21,-1,-1,-1,-1,2,0
